country,area_sqkm
Aruba,180
Afghanistan,653000
Angola,1250000
Albania,28800
Andorra,470
UAE,98600
Argentina,2780000
Armenia,29700
American Samoa,200
Antigua and Barbuda,440
Australia,7740000
Austria,83900
Azerbaijan,86600
Burundi,27800
Belgium,30500
Benin,115000
Burkina Faso,274000
Bangladesh,148000
Bulgaria,111000
Bahrain,760
Bahamas,13900
Bosnia and Herzegovina,51200
Belarus,208000
Belize,23000
Bermuda,54
Bolivia,1100000
Brazil,8520000
Barbados,430
Brunei,5770
Bhutan,38400
Botswana,582000
Central African Republic,623000
Canada,15600000
Channel Islands,198
Switzerland,41300
Chile,756000
China,9560000
Cote d'Ivoire,322000
Cameroon,475000
"Congo, Dem. Rep.",2340000
"Congo, Rep.",342000
Colombia,1140000
Comoros,1860
Cape Verde,4030
Costa Rica,51100
Cuba,110000
Cayman Islands,264
Cyprus,9250
Czech Republic,78900
Germany,357000
Djibouti,23200
Dominica,750
Denmark,42900
Dominican Republic,48700
Algeria,2380000
Ecuador,256000
Egypt,1.00E+06
Eritrea,122000
Spain,505000
Estonia,45200
Ethiopia,1140000
Finland,338000
Fiji,18300
France,549000
Faeroe Islands,1400
"Micronesia, Fed. Sts.",700
Gabon,268000
Isle of Man,570
UK,244000
Georgia,69700
Ghana,239000
Gibraltar,10
Guinea,246000
Gambia,11300
Guinea-Bissau,36100
Equatorial Guinea,28100
Greece,132000
Grenada,340
Greenland,410000
Guatemala,109000
Guam,540
Guyana,215000
"Hong Kong, China",1100
Honduras,112000
Croatia,56600
Haiti,27800
Hungary,93000
Indonesia,1910000
India,3290000
Ireland,70300
Iran,1750000
Iraq,435000
Iceland,103000
Israel,22100
Italy,302000
Jamaica,11000
Jordan,89300
Japan,378000
Kazakhstan,2720000
Kenya,580000
Kyrgyz Republic,2.00E+05
Cambodia,181000
Kiribati,810
St. Kitts and Nevis,260
South Korea,99900
Kuwait,17800
Lao,237000
Lebanon,10400
Liberia,111000
Libya,1760000
St. Lucia,620
Liechtenstein,160
Sri Lanka,65600
Lesotho,30400
Lithuania,65300
Luxembourg,2590
Latvia,64600
"Macao, China",30
3/1/01,NA
Morocco,447000
Monaco,75
Moldova,33900
Madagascar,587000
Maldives,300
Mexico,1960000
Marshall Islands,180
North Macedonia,25700
Mali,1240000
Malta,320
Myanmar,677000
Montenegro,13800
Mongolia,1560000
Northern Mariana Islands,460
Mozambique,799000
Mauritania,1030000
Mauritius,2040
Malawi,118000
Malaysia,331000
Namibia,824000
New Caledonia,18600
Niger,1270000
Nigeria,924000
Nicaragua,130000
Netherlands,41500
Curaçao,444
Norway,385000
Nepal,147000
Nauru,20
New Zealand,268000
Oman,310000
Pakistan,796000
Panama,75400
Peru,1290000
Philippines,3.00E+05
Palau,460
Papua New Guinea,463000
Poland,313000
North Korea,121000
Portugal,92200
Paraguay,407000
Palestine,6020
French Polynesia,3470
Qatar,11600
Romania,238000
Russia,17100000
Rwanda,26300
Saudi Arabia,2150000
Sudan,2510000
Senegal,197000
Singapore,710
Solomon Islands,28900
Sierra Leone,72300
El Salvador,21000
San Marino,60
Somalia,638000
Serbia,88400
South Sudan,NA
Sao Tome and Principe,960
Suriname,164000
Slovak Republic,49000
Slovenia,20300
Sweden,447000
Eswatini,17400
Sint Maarten (Dutch part),34
Seychelles,460
Syria,185000
Turks and Caicos Islands,950
Chad,1280000
Togo,56800
Thailand,513000
Tajikistan,143000
Turkmenistan,488000
Timor-Leste,14900
Tonga,750
Trinidad and Tobago,5130
Tunisia,164000
Turkey,785000
Tuvalu,30
Tanzania,947000
Uganda,242000
Ukraine,604000
Uruguay,176000
USA,9830000
Uzbekistan,444000
St. Vincent and the Grenadines,390
Venezuela,912000
British Virgin Islands,150
Vietnam,331000
Vanuatu,12200
Samoa,2840
Yemen,528000
South Africa,1220000
Zambia,753000
Zimbabwe,391000